Crop,TradCropCFactor_tonnes_ha_C,TradCrop_tonnes_C_Label,AgroCropCFactor_tonnes_ha_C,AgroCrop_tonnes_C_Label,Total
Banana,NA,0,5.7,"1,682","1,682"
Coffee,NA,0,11,"157,553","157,553"
Crop support,6.8,"16,871",20,"372,920","389,791"
Fruit & nut,75,"177,000",75,"2,794,650","2,971,650"
Herbaceous crops,6.8,"465,460",20,"7,140,100","7,605,560"
Oil palm,NA,0,41.6,"235,456","235,456"
Pulpwood,23,"282,164",NA,0,"282,164"
Rice,1.1,"8,838",NA,0,"8,838"
Rubber,31.8,"4,518,716",31.8,"10,717","4,529,433"
Shrub crops,10.5,"6,804",16.5,"247,120","253,924"
Tea,15.5,"169,740",22,"12,980","182,720"
Tree crops,43.3,"884,662",43.3,"3,432,651","4,317,313"
Total,," 6,530,255 ",," 14,405,829 ",
