"","Area_ha","SE_Area_ha"
"NotFo____NoLoss",15683103,280173
"TDryF____NoLoss",760563,179407
"TDryF____ToBuUp",15494,6433
"TDryF____ToCrop",556504,80283
"TDryF____ToOthr",18418,4806
"TDryF____ToVegn",96450,13287
"TMDec____NoLoss",486628,146800
"TMDec____ToBuUp",3400,1405
"TMDec____ToCrop",194603,19459
"TMDec____ToOthr",16198,5936
"TMDec____ToVegn",120105,70850
"TRain____NoLoss",103835,73683
"TRain____ToBuUp",3224,1819
"TRain____ToCrop",44987,10194
"TRain____ToOthr",4973,2982
"TRain____ToVegn",18872,6530
