"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical dry forest (686,870)","Built-up (22,118)",15494,6433,"ToBU"
"Tropical moist deciduous forest (334,310)","Built-up (22,118)",3400,1405,"ToBU"
"Tropical rainforest (72,056)","Built-up (22,118)",3224,1819,"ToBU"
"Tropical dry forest (686,870)","Croplands (796,090)",556504,80283,"ToCrop"
"Tropical moist deciduous forest (334,310)","Croplands (796,090)",194603,19459,"ToCrop"
"Tropical rainforest (72,056)","Croplands (796,090)",44987,10194,"ToCrop"
"Tropical dry forest (686,870)","Other (39,589)",18418,4806,"ToOther"
"Tropical moist deciduous forest (334,310)","Other (39,589)",16198,5936,"ToOther"
"Tropical rainforest (72,056)","Other (39,589)",4973,2982,"ToOther"
"Tropical dry forest (686,870)","Shrub, grassland, or herbaceous (235,430)",96450,13287,"ToVeg"
"Tropical moist deciduous forest (334,310)","Shrub, grassland, or herbaceous (235,430)",120105,70850,"ToVeg"
"Tropical rainforest (72,056)","Shrub, grassland, or herbaceous (235,430)",18872,6530,"ToVeg"
"Croplands (796,090)","All herbaceous crops (433,490)",433490,50717,"ToCrop"
"Croplands (796,090)","All palm crops (5,955)",5955,3384,"ToCrop"
"Croplands (796,090)","All shrub crops (41,490)",41490,8923,"ToCrop"
"Croplands (796,090)","All tree crops (294,030)",294033,44851,"ToCrop"
"Croplands (796,090)","Crop support (21,127)",21127,5869,"ToCrop"
