sourceLabels,targetLabels,Area_ha,SE_Area_ha,LinkGroup
"Tropical mountain system (453,880)","Built-up (214,050)",1451,1451,ToBU
"Tropical rainforest (9,207,300)","Built-up (214,050)",182582,28254,ToBU
"Tropical rainforest, peatlands (928,740)","Built-up (214,050)",30021,11703,ToBU
"Tropical mountain system (453,880)","Croplands (5,972,100)",256733,63393,ToCrop
"Tropical rainforest (9,207,300)","Croplands (5,972,100)",5022188,492524,ToCrop
"Tropical rainforest, peatlands (928,740)","Croplands (5,972,100)",693201,105067,ToCrop
"Tropical moist deciduous forest (17,307)","Other (608,900)",17307,17307,ToOther
"Tropical mountain system (453,880)","Other (608,900)",42812,23241,ToOther
"Tropical rainforest (9,207,300)","Other (608,900)",534302,83711,ToOther
"Tropical rainforest, peatlands (928,740)","Other (608,900)",14481,10098,ToOther
"Tropical mountain system (453,880)","Shrub, grassland, or herbaceous (3,812,200)",152887,46453,ToVeg
"Tropical rainforest (9,207,300)","Shrub, grassland, or herbaceous (3,812,200)",3468245,441941,ToVeg
"Tropical rainforest, peatlands (928,740)","Shrub, grassland, or herbaceous (3,812,200)",191033,55200,ToVeg
"Croplands (5,972,100)","All herbaceous crops (1,621,600)",1621552,144199,ToCrop
"Croplands (5,972,100)","All palm crops (2,474,200)",2474154,463592,ToCrop
"Croplands (5,972,100)","All shrub crops (329,650)",329646,63903,ToCrop
"Croplands (5,972,100)","All tree crops (1,289,200)",1289200,133709,ToCrop
"Croplands (5,972,100)","Crop support (257,570)",257569,57819,ToCrop
"Tropical moist deciduous forest (17,307)","Croplands (5,972,100)",0.05,0.05,ToCrop
