"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical dry forest (123,660)","Built-up (7,948)",2441,2199,"ToBU"
"Tropical moist deciduous forest (423,320)","Built-up (7,948)",2494,1111,"ToBU"
"Tropical mountain system (158,320)","Built-up (7,948)",642,385,"ToBU"
"Tropical rainforest (239,780)","Built-up (7,948)",2371,977,"ToBU"
"Tropical dry forest (123,660)","Croplands (499,960)",61173,12700,"ToCrop"
"Tropical moist deciduous forest (423,320)","Croplands (499,960)",267312,87984,"ToCrop"
"Tropical mountain system (158,320)","Croplands (499,960)",64916,13407,"ToCrop"
"Tropical rainforest (239,780)","Croplands (499,960)",106558,15312,"ToCrop"
"Tropical dry forest (123,660)","Other (36,523)",1849,1563,"ToOther"
"Tropical moist deciduous forest (423,320)","Other (36,523)",8618,3881,"ToOther"
"Tropical mountain system (158,320)","Other (36,523)",7194,3398,"ToOther"
"Tropical rainforest (239,780)","Other (36,523)",18862,5771,"ToOther"
"Tropical dry forest (123,660)","Shrub, grassland, or herbaceous (400,640)",58197,12688,"ToVeg"
"Tropical moist deciduous forest (423,320)","Shrub, grassland, or herbaceous (400,640)",144891,18828,"ToVeg"
"Tropical mountain system (158,320)","Shrub, grassland, or herbaceous (400,640)",85565,14745,"ToVeg"
"Tropical rainforest (239,780)","Shrub, grassland, or herbaceous (400,640)",111986,16358,"ToVeg"
"Croplands (499,960)","All herbaceous crops (255,330)",255328,87660,"ToCrop"
"Croplands (499,960)","All shrub crops (9,652)",9652,4260,"ToCrop"
"Croplands (499,960)","All tree crops (224,960)",224965,22082,"ToCrop"
"Croplands (499,960)","Crop support (6,803)",6803,3043,"ToCrop"
