"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical moist deciduous forest (434,690)","Built-up (18,068)",8874,4033,"ToBU"
"Tropical mountain system (333,980)","Built-up (18,068)",6574,3345,"ToBU"
"Tropical rainforest (435,040)","Built-up (18,068)",2620,898,"ToBU"
"Tropical dry forest (9,996)","Croplands (759,670)",3305,3305,"ToCrop"
"Tropical moist deciduous forest (434,690)","Croplands (759,670)",289039,28311,"ToCrop"
"Tropical mountain system (333,980)","Croplands (759,670)",193881,23420,"ToCrop"
"Tropical rainforest (435,040)","Croplands (759,670)",273449,27881,"ToCrop"
"Tropical dry forest (9,996)","Other (103,700)",988,988,"ToOther"
"Tropical moist deciduous forest (434,690)","Other (103,700)",33693,8673,"ToOther"
"Tropical mountain system (333,980)","Other (103,700)",33339,8957,"ToOther"
"Tropical rainforest (435,040)","Other (103,700)",35684,9483,"ToOther"
"Tropical dry forest (9,996)","Shrub, grassland, or herbaceous (332,260)",5703,4083,"ToVeg"
"Tropical moist deciduous forest (434,690)","Shrub, grassland, or herbaceous (332,260)",103088,16784,"ToVeg"
"Tropical mountain system (333,980)","Shrub, grassland, or herbaceous (332,260)",100186,17025,"ToVeg"
"Tropical rainforest (435,040)","Shrub, grassland, or herbaceous (332,260)",123286,18146,"ToVeg"
"Croplands (759,670)","All herbaceous crops (386,480)",386478,30777,"ToCrop"
"Croplands (759,670)","All palm crops (16,829)",16829,7194,"ToCrop"
"Croplands (759,670)","All shrub crops (7,648)",7648,3864,"ToCrop"
"Croplands (759,670)","All tree crops (327,500)",327504,28681,"ToCrop"
"Croplands (759,670)","Crop support (17,909)",17909,6591,"ToCrop"
