"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical moist deciduous forest (28,560)","Built-up (5,847)",30,30,"ToBU"
"Tropical rainforest (290,160)","Built-up (5,847)",5817,1635,"ToBU"
"Tropical moist deciduous forest (28,560)","Croplands (164,820)",8563,2875,"ToCrop"
"Tropical mountain system (8,574)","Croplands (164,820)",1957,1385,"ToCrop"
"Tropical rainforest (290,160)","Croplands (164,820)",154297,11470,"ToCrop"
"Tropical moist deciduous forest (28,560)","Other (12,638)",3447,1670,"ToOther"
"Tropical mountain system (8,574)","Other (12,638)",52,52,"ToOther"
"Tropical rainforest (290,160)","Other (12,638)",9139,2613,"ToOther"
"Tropical mountain system (8,574)","Shrub, grassland, or herbaceous (143,990)",6565,2355,"ToVeg"
"Tropical moist deciduous forest (28,560)","Shrub, grassland, or herbaceous (143,990)",16520,4067,"ToVeg"
"Tropical rainforest (290,160)","Shrub, grassland, or herbaceous (143,990)",120908,10055,"ToVeg"
"Croplands (164,820)","All herbaceous crops (80,395)",80395,8155,"ToCrop"
"Croplands (164,820)","All palm crops (35,690)",35690,5382,"ToCrop"
"Croplands (164,820)","All shrub crops (5,705)",5705,1973,"ToCrop"
"Croplands (164,820)","All tree crops (39,822)",39822,5803,"ToCrop"
"Croplands (164,820)","Crop support (3,203)",3203,1253,"ToCrop"
