"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical dry forest (1,112,000)","Built-up (284,300)",19363,6856,"ToBU"
"Tropical moist deciduous forest (1,883,400)","Built-up (284,300)",20299,4737,"ToBU"
"Tropical mountain system (1,005,700)","Built-up (284,300)",9379,3684,"ToBU"
"Tropical rainforest (10,898,000)","Built-up (284,300)",205236,28480,"ToBU"
"Tropical rainforest, peatlands (928,740)","Built-up (284,300)",30021,11703,"ToBU"
"Subtropical humid forest (2,651)","Croplands (9,361,400)",2651,2375,"ToCrop"
"Tropical shrubland (10,951)","Croplands (9,361,400)",7827,3732,"ToCrop"
"Tropical dry forest (1,112,000)","Croplands (9,361,400)",754094,100774,"ToCrop"
"Tropical moist deciduous forest (1,883,400)","Croplands (9,361,400)",1179073,158500,"ToCrop"
"Tropical mountain system (1,005,700)","Croplands (9,361,400)",558944,69497,"ToCrop"
"Tropical rainforest (10,898,000)","Croplands (9,361,400)",6165651,494698,"ToCrop"
"Tropical rainforest, peatlands (928,740)","Croplands (9,361,400)",693201,105067,"ToCrop"
"Tropical dry forest (1,112,000)","Other (970,870)",58157,33715,"ToOther"
"Tropical moist deciduous forest (1,883,400)","Other (970,870)",183705,91213,"ToOther"
"Tropical mountain system (1,005,700)","Other (970,870)",86746,25265,"ToOther"
"Tropical rainforest (10,898,000)","Other (970,870)",627594,84765,"ToOther"
"Tropical rainforest, peatlands (928,740)","Other (970,870)",14481,10098,"ToOther"
"Tropical shrubland (10,951)","Other (970,870)",190,190,"ToOther"
"Tropical dry forest (1,112,000)","Shrub, grassland, or herbaceous (5,224,500)",280342,109831,"ToVeg"
"Tropical moist deciduous forest (1,883,400)","Shrub, grassland, or herbaceous (5,224,500)",500283,84461,"ToVeg"
"Tropical mountain system (1,005,700)","Shrub, grassland, or herbaceous (5,224,500)",350636,51747,"ToVeg"
"Tropical rainforest (10,898,000)","Shrub, grassland, or herbaceous (5,224,500)",3899298,442880,"ToVeg"
"Tropical rainforest, peatlands (928,740)","Shrub, grassland, or herbaceous (5,224,500)",191033,55200,"ToVeg"
"Tropical shrubland (10,951)","Shrub, grassland, or herbaceous (5,224,500)",2934,1710,"ToVeg"
"Croplands (9,361,400)","All herbaceous crops (3,015,100)",3015112,180156,"ToCrop"
"Croplands (9,361,400)","All palm crops (2,627,200)",2627162,463885,"ToCrop"
"Croplands (9,361,400)","All shrub crops (505,940)",505937,97921,"ToCrop"
"Croplands (9,361,400)","All tree crops (2,865,800)",2865797,165443,"ToCrop"
"Croplands (9,361,400)","Crop support (340,130)",340132,59487,"ToCrop"
