"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical dry forest (283,650)","Built-up (8,206)",1428,888,"ToBU"
"Tropical moist deciduous forest (122,010)","Built-up (8,206)",2031,1082,"ToBU"
"Tropical mountain system (18,503)","Built-up (8,206)",474,267,"ToBU"
"Tropical rainforest (471,820)","Built-up (8,206)",4273,1645,"ToBU"
"Tropical dry forest (283,650)","Croplands (650,110)",127462,59410,"ToCrop"
"Tropical moist deciduous forest (122,010)","Croplands (650,110)",81585,12256,"ToCrop"
"Tropical mountain system (18,503)","Croplands (650,110)",13007,5269,"ToCrop"
"Tropical rainforest (471,820)","Croplands (650,110)",428052,25943,"ToCrop"
"Tropical dry forest (283,650)","Other (53,424)",36855,33319,"ToOther"
"Tropical moist deciduous forest (122,010)","Other (53,424)",2715,2293,"ToOther"
"Tropical mountain system (18,503)","Other (53,424)",2448,2448,"ToOther"
"Tropical rainforest (471,820)","Other (53,424)",11406,3890,"ToOther"
"Tropical dry forest (283,650)","Shrub, grassland, or herbaceous (184,250)",117904,108198,"ToVeg"
"Tropical moist deciduous forest (122,010)","Shrub, grassland, or herbaceous (184,250)",35682,8201,"ToVeg"
"Tropical mountain system (18,503)","Shrub, grassland, or herbaceous (184,250)",2574,1785,"ToVeg"
"Tropical rainforest (471,820)","Shrub, grassland, or herbaceous (184,250)",28088,7345,"ToVeg"
"Croplands (650,110)","All herbaceous crops (146,160)",146155,15815,"ToCrop"
"Croplands (650,110)","All palm crops (94,532)",94532,13393,"ToCrop"
"Croplands (650,110)","All shrub crops (4,630)",4630,1968,"ToCrop"
"Croplands (650,110)","All tree crops (392,220)",392222,54964,"ToCrop"
"Croplands (650,110)","Crop support (12,567)",12567,8630,"ToCrop"
