"sourceLabels","targetLabels","Area_ha","SE_Area_ha","LinkGroup"
"Tropical moist deciduous forest (523,170)","Built-up (8,057)",3471,1337,"ToBU"
"Tropical mountain system (32,446)","Built-up (8,057)",237,237,"ToBU"
"Tropical rainforest (181,610)","Built-up (8,057)",4349,1535,"ToBU"
"Subtropical humid forest (2,651)","Croplands (518,670)",2651,2375,"ToCrop"
"Tropical dry forest (7,784)","Croplands (518,670)",5650,2886,"ToCrop"
"Tropical shrubland (10,951)","Croplands (518,670)",7827,3732,"ToCrop"
"Tropical moist deciduous forest (523,170)","Croplands (518,670)",337971,126658,"ToCrop"
"Tropical mountain system (32,446)","Croplands (518,670)",28449,7301,"ToCrop"
"Tropical rainforest (181,610)","Croplands (518,670)",136121,15028,"ToCrop"
"Tropical dry forest (7,784)","Other (116,090)",47,47,"ToOther"
"Tropical moist deciduous forest (523,170)","Other (116,090)",101728,88807,"ToOther"
"Tropical mountain system (32,446)","Other (116,090)",901,619,"ToOther"
"Tropical rainforest (181,610)","Other (116,090)",13228,4854,"ToOther"
"Tropical shrubland (10,951)","Other (116,090)",190,190,"ToOther"
"Tropical dry forest (7,784)","Shrub, grassland, or herbaceous (115,790)",2087,1345,"ToVeg"
"Tropical moist deciduous forest (523,170)","Shrub, grassland, or herbaceous (115,790)",79997,37337,"ToVeg"
"Tropical mountain system (32,446)","Shrub, grassland, or herbaceous (115,790)",2859,1969,"ToVeg"
"Tropical rainforest (181,610)","Shrub, grassland, or herbaceous (115,790)",27914,6077,"ToVeg"
"Tropical shrubland (10,951)","Shrub, grassland, or herbaceous (115,790)",2934,1710,"ToVeg"
"Croplands (518,670)","All herbaceous crops (91,715)",91715,11953,"ToCrop"
"Croplands (518,670)","All shrub crops (107,170)",107166,73379,"ToCrop"
"Croplands (518,670)","All tree crops (298,050)",298051,55828,"ToCrop"
"Croplands (518,670)","Crop support (20,953)",20953,5702,"ToCrop"
