"","Area_ha","SE_Area_ha"
"NotFo____NoLoss",163258335,2077415
"NotFo_pt_NoLoss",10323068,1984280
"TMDec____NoLoss",5805,5805
"TMDec____ToOthr",17307,17307
"TMtnS____NoLoss",289454,65409
"TMtnS____ToBuUp",1451,1451
"TMtnS____ToCrop",256733,63393
"TMtnS____ToOthr",42812,23241
"TMtnS____ToVegn",152887,46453
"TRain____NoLoss",5674863,246233
"TRain____ToBuUp",182582,28254
"TRain____ToCrop",5022188,492524
"TRain____ToOthr",534302,83711
"TRain____ToVegn",3468245,441941
"TRain_pt_NoLoss",298132,69558
"TRain_pt_ToBuUp",30021,11703
"TRain_pt_ToCrop",693201,105067
"TRain_pt_ToOthr",14481,10098
"TRain_pt_ToVegn",191033,55200
