"","Area_ha","SE_Area_ha"
"NotFo____NoLoss",21361959,164272
"TDryF____NoLoss",72596,14275
"TDryF____ToBuUp",2441,2199
"TDryF____ToCrop",61173,12700
"TDryF____ToOthr",1849,1563
"TDryF____ToVegn",58197,12688
"TMDec____NoLoss",200235,46804
"TMDec____ToBuUp",2494,1111
"TMDec____ToCrop",267312,87984
"TMDec____ToOthr",8618,3881
"TMDec____ToVegn",144891,18828
"TMtnS____NoLoss",150438,86505
"TMtnS____ToBuUp",642,385
"TMtnS____ToCrop",64916,13407
"TMtnS____ToOthr",7194,3398
"TMtnS____ToVegn",85565,14745
"TRain____NoLoss",259114,100159
"TRain____ToBuUp",2371,977
"TRain____ToCrop",106558,15312
"TRain____ToOthr",18862,5771
"TRain____ToVegn",111986,16358
