"","Area_ha","SE_Area_ha"
"NotFo____NoLoss",63677952,562361
"TDryF____NoLoss",270242,257108
"TDryF____ToCrop",3305,3305
"TDryF____ToOthr",988,988
"TDryF____ToVegn",5703,4083
"TMDec____NoLoss",929779,432015
"TMDec____ToBuUp",8874,4033
"TMDec____ToCrop",289039,28311
"TMDec____ToOthr",33693,8673
"TMDec____ToVegn",103088,16784
"TMtnS____NoLoss",190931,23212
"TMtnS____ToBuUp",6574,3345
"TMtnS____ToCrop",193881,23420
"TMtnS____ToOthr",33339,8957
"TMtnS____ToVegn",100186,17025
"TRain____NoLoss",436507,258011
"TRain____ToBuUp",2620,898
"TRain____ToCrop",273449,27881
"TRain____ToOthr",35684,9483
"TRain____ToVegn",123286,18146
