"","Area_ha","SE_Area_ha"
"NotFo____NoLoss",6388925,717870
"TMDec____NoLoss",911133,289419
"TMDec____ToBuUp",30,30
"TMDec____ToCrop",1634382,386384
"TMDec____ToOthr",150359,116808
"TMDec____ToVegn",134049,69667
"TMtnS____NoLoss",250255,151519
"TMtnS____ToBuUp",14691,14177
"TMtnS____ToCrop",555323,238785
"TMtnS____ToOthr",171448,119428
"TMtnS____ToVegn",202447,136080
"TRain____NoLoss",3516160,539272
"TRain____ToBuUp",348610,101224
"TRain____ToCrop",12570758,866457
"TRain____ToOthr",751042,238965
"TRain____ToVegn",2400483,457895
