"","Area_ha","SE_Area_ha"
"NotFo____NoLoss",374971184,2236707
"NotFo_pt_NoLoss",10323068,1984280
"SHumF____NoLoss",4419,3129
"SHumF____ToCrop",2651,2375
"TDryF____NoLoss",1118352,313876
"TDryF____ToBuUp",19363,6856
"TDryF____ToCrop",754094,100774
"TDryF____ToOthr",58157,33715
"TDryF____ToVegn",280342,109831
"TMDec____NoLoss",2283643,525964
"TMDec____ToBuUp",20299,4737
"TMDec____ToCrop",1179073,158500
"TMDec____ToOthr",183705,91213
"TMDec____ToVegn",500283,84461
"TMtnS____NoLoss",677639,111256
"TMtnS____ToBuUp",9379,3684
"TMtnS____ToCrop",558944,69497
"TMtnS____ToOthr",86746,25265
"TMtnS____ToVegn",350636,51747
"TRain____NoLoss",6905059,398366
"TRain____ToBuUp",205236,28480
"TRain____ToCrop",6165651,494698
"TRain____ToOthr",627594,84765
"TRain____ToVegn",3899298,442880
"TRain_pt_NoLoss",298132,69558
"TRain_pt_ToBuUp",30021,11703
"TRain_pt_ToCrop",693201,105067
"TRain_pt_ToOthr",14481,10098
"TRain_pt_ToVegn",191033,55200
"TShrb____NoLoss",12283,4770
"TShrb____ToCrop",7827,3732
"TShrb____ToOthr",190,190
"TShrb____ToVegn",2934,1710
