"","Area_ha","SE_Area_ha"
"NotFo____NoLoss",50118920,297126
"TDryF____NoLoss",11288,4249
"TDryF____ToBuUp",1428,888
"TDryF____ToCrop",127462,59410
"TDryF____ToOthr",36855,33319
"TDryF____ToVegn",117904,108198
"TMDec____NoLoss",340514,219460
"TMDec____ToBuUp",2031,1082
"TMDec____ToCrop",81585,12256
"TMDec____ToOthr",2715,2293
"TMDec____ToVegn",35682,8201
"TMtnS____NoLoss",8893,3943
"TMtnS____ToBuUp",474,267
"TMtnS____ToCrop",13007,5269
"TMtnS____ToOthr",2448,2448
"TMtnS____ToVegn",2574,1785
"TRain____NoLoss",38734,7574
"TRain____ToBuUp",4273,1645
"TRain____ToCrop",428052,25943
"TRain____ToOthr",11406,3890
"TRain____ToVegn",28088,7345
