"","Area_ha","SE_Area_ha"
"NotFo____NoLoss",31416901,254606
"SHumF____NoLoss",4419,3129
"SHumF____ToCrop",2651,2375
"TDryF____NoLoss",3662,2192
"TDryF____ToCrop",5650,2886
"TDryF____ToOthr",47,47
"TDryF____ToVegn",2087,1345
"TMDec____NoLoss",281223,134262
"TMDec____ToBuUp",3471,1337
"TMDec____ToCrop",337971,126658
"TMDec____ToOthr",101728,88807
"TMDec____ToVegn",79997,37337
"TMtnS____NoLoss",27622,7242
"TMtnS____ToBuUp",237,237
"TMtnS____ToCrop",28449,7301
"TMtnS____ToOthr",901,619
"TMtnS____ToVegn",2859,1969
"TRain____NoLoss",222978,125879
"TRain____ToBuUp",4349,1535
"TRain____ToCrop",136121,15028
"TRain____ToOthr",13228,4854
"TRain____ToVegn",27914,6077
"TShrb____NoLoss",12283,4770
"TShrb____ToCrop",7827,3732
"TShrb____ToOthr",190,190
"TShrb____ToVegn",2934,1710
