"","Area_ha","SE_Area_ha"
"Bana_Agrisil",295,295
"Coff_Agrisil",14323,5742
"Crop_Agrisil",15927,4972
"Crop_Bndry",2718,2718
"Crop_Trad",2481,1644
"Frui_Agrisil",37263,8541
"Frui_Trad",2360,1667
"Herb_Agrisil",330397,26265
"Herb_Bndry",26608,21537
"Herb_Trad",68449,22039
"None_None",17331264,131009
"Oil__Agrisil",5660,3371
"Pulp_Trad",12268,4541
"Rice_Trad",8035,3785
"Rubb_Agrisil",337,337
"Rubb_Trad",142098,17177
"Shru_Agrisil",5286,2252
"Shru_Bndry",9692,4302
"Shru_Trad",648,415
"Tea_Agrisil",590,590
"Tea_Trad",10951,4897
"Tree_Agrisil",63124,37181
"Tree_Bndry",16152,15262
"Tree_Trad",20431,6697
