"","Area_ha","SE_Area_ha"
"NotFo____None",15683103,280173
"TDryF____Bana",295,295
"TDryF____Coff",10194,5107
"TDryF____Crop",13357,5238
"TDryF____Frui",22650,6483
"TDryF____Herb",332521,49468
"TDryF____None",890926,179853
"TDryF____Pulp",5731,3072
"TDryF____Rice",6489,3507
"TDryF____Rubb",67344,12467
"TDryF____Shru",6911,2968
"TDryF____Tea",8233,4081
"TDryF____Tree",82780,40227
"TMDec____Coff",4129,2625
"TMDec____Crop",4599,2008
"TMDec____Frui",13938,5451
"TMDec____Herb",74580,11957
"TMDec____None",626331,163792
"TMDec____Pulp",5178,3074
"TMDec____Rice",1433,1433
"TMDec____Rubb",72033,12201
"TMDec____Shru",6631,3518
"TMDec____Tea",3308,2782
"TMDec____Tree",8773,3899
"TRain____Crop",3171,1862
"TRain____Frui",3034,2195
"TRain____Herb",18353,6491
"TRain____None",130903,74093
"TRain____Oil_",5660,3371
"TRain____Pulp",1359,1359
"TRain____Rice",113,113
"TRain____Rubb",3058,2172
"TRain____Shru",2083,1619
"TRain____Tree",8155,4693
