"","Area_ha","SE_Area_ha"
"Aqua_Trad",18866,17472
"Coco_Agrisil",6168,6168
"Coco_Trad",16671,14085
"Coff_Agrisil",30753,15545
"Crop_Agrisil",168538,46633
"Crop_Bndry",78895,34172
"Crop_Trad",10136,5419
"Frui_Agrisil",36083,19359
"Frui_Bndry",7932,7932
"Frui_Trad",22495,18131
"Herb_Agrisil",1297606,130104
"Herb_Bndry",57689,29428
"Herb_Trad",233690,55358
"None_None",184484778,500531
"Oil__Agrisil",1192856,129443
"Oil__Trad",1083039,444215
"Palm_Agrisil",120615,41975
"Palm_Trad",54804,27966
"Pulp_Agrisil",721,721
"Pulp_Trad",346675,73375
"Rice_Trad",13701,9802
"Rubb_Trad",182657,53619
"Shru_Agrisil",115914,35452
"Shru_Bndry",162715,50074
"Shru_Trad",20263,11332
"Tree_Agrisil",88124,32457
"Tree_Trad",604513,91669
