"","Area_ha","SE_Area_ha"
"NotFo____None",27656495,2895081
"NotFo_pt_None",1466109,620840
"TMDec____Herb",198830,198830
"TMDec____None",3023632,1125979
"TMDec____Shru",144603,144603
"TMDec____Tree",90377,90377
"TMtnS____Coco",18075,18075
"TMtnS____Coff",726,726
"TMtnS____Crop",17415,13759
"TMtnS____Frui",4354,4354
"TMtnS____Herb",784058,494610
"TMtnS____None",14639663,2349782
"TMtnS____Oil_",5048,5048
"TMtnS____Pulp",46440,27174
"TMtnS____Rice",307282,307282
"TMtnS____Rubb",34830,24603
"TMtnS____Tree",141106,110632
"TMtnS_pt_Herb",433810,433810
"TRain____Aqua",18866,17472
"TRain____Coco",1057427,547624
"TRain____Coff",30028,15529
"TRain____Crop",330579,96895
"TRain____Frui",785173,477538
"TRain____Herb",7799082,1434268
"TRain____None",102577886,4160017
"TRain____Oil_",8896769,1613570
"TRain____Palm",151623,47270
"TRain____Pulp",951671,489307
"TRain____Rice",1694716,798222
"TRain____Rubb",130521,44458
"TRain____Shru",681504,437448
"TRain____Tree",6254376,1331808
"TRain_pt_Coco",13787,13787
"TRain_pt_Crop",18028,17321
"TRain_pt_Herb",579448,436186
"TRain_pt_None",8089195,1757441
"TRain_pt_Oil_",839229,441304
"TRain_pt_Palm",23797,17431
"TRain_pt_Rubb",17307,17307
"TRain_pt_Shru",51199,26514
"TRain_pt_Tree",18028,17321
"TShrb____None",433810,433810
