"","Area_ha","SE_Area_ha"
"NotFo____None",21361959,164272
"TDryF____Coff",1670,1670
"TDryF____Crop",3469,2647
"TDryF____Herb",26269,8186
"TDryF____None",135083,19026
"TDryF____Pulp",16383,6666
"TDryF____Rice",257,257
"TDryF____Rubb",5446,3408
"TDryF____Shru",128,128
"TDryF____Tree",7552,4014
"TMDec____Crop",1799,1190
"TMDec____Herb",160427,86466
"TMDec____None",359322,50282
"TMDec____Pulp",27285,8630
"TMDec____Rice",1156,1156
"TMDec____Rubb",56012,11829
"TMDec____Shru",2742,2219
"TMDec____Tree",14807,5605
"TMtnS____Crop",1285,908
"TMtnS____Herb",29207,8941
"TMtnS____None",243969,87855
"TMtnS____Pulp",13227,5870
"TMtnS____Rubb",19142,7282
"TMtnS____Tree",1927,1290
"TRain____Coff",3536,3116
"TRain____Crop",251,251
"TRain____Herb",38012,9148
"TRain____None",392332,101633
"TRain____Pulp",32864,8614
"TRain____Rubb",22108,7279
"TRain____Shru",1474,890
"TRain____Tea",101,101
"TRain____Tree",8213,3755
