"","Area_ha","SE_Area_ha"
"Coff_Agrisil",847,847
"Crop_Agrisil",2341,1971
"Crop_Bndry",141,141
"Crop_Trad",15427,6292
"Frui_Agrisil",4626,3606
"Herb_Agrisil",140148,19431
"Herb_Bndry",2681,2681
"Herb_Trad",234149,24471
"None_None",65959444,40489
"None_Trad",3305,3305
"Oil__Agrisil",6691,4732
"Oil__Trad",10139,5454
"Pulp_Agrisil",2258,2258
"Pulp_Trad",105832,17665
"Rice_Trad",9501,4795
"Rubb_Trad",56533,12632
"Shru_Agrisil",2241,1629
"Shru_Trad",1256,829
"Tea_Trad",3305,3305
"Tree_Agrisil",19155,6045
"Tree_Bndry",3490,1387
"Tree_Trad",135612,18931
