"","Area_ha","SE_Area_ha"
"NotFo____None",63677952,562361
"TDryF____Herb",3305,3305
"TDryF____None",276933,257152
"TMDec____Crop",1243,715
"TMDec____Herb",168418,21590
"TMDec____None",1078738,432482
"TMDec____Pulp",26947,9274
"TMDec____Rice",3855,2660
"TMDec____Rubb",19716,7405
"TMDec____Shru",413,308
"TMDec____Tree",65143,13035
"TMtnS____Crop",5921,3989
"TMtnS____Herb",106916,17356
"TMtnS____None",331030,30154
"TMtnS____Pulp",32714,9898
"TMtnS____Rubb",6609,4669
"TMtnS____Tea",3305,3305
"TMtnS____Tree",38416,9746
"TRain____Coff",847,847
"TRain____Crop",10746,5219
"TRain____Frui",4626,3606
"TRain____Herb",98338,16396
"TRain____None",598096,258856
"TRain____Oil_",16829,7194
"TRain____Pulp",48428,11929
"TRain____Rice",5645,3804
"TRain____Rubb",30209,9239
"TRain____Shru",3084,1799
"TRain____Tree",54698,12311
