"","Area_ha","SE_Area_ha"
"Bana_Agrisil",1240,1240
"Bana_Trad",117891,113414
"Coco_Agrisil",687714,259347
"Coco_Trad",761377,264399
"Coff_Agrisil",117529,113413
"Coff_Trad",1122,940
"Crop_Agrisil",6816,4821
"Crop_Bndry",568,568
"Crop_Trad",716,587
"Frui_Agrisil",164333,117600
"Frui_Trad",103,103
"Herb_Agrisil",5069517,625992
"Herb_Bndry",45934,42547
"Herb_Trad",4883305,595297
"None_None",15239631,868042
"Oil__Agrisil",887564,289877
"Oil__Trad",3300,1627
"Palm_Agrisil",465,465
"Palm_Trad",177,177
"Pulp_Trad",124423,113446
"Rice_Trad",606,459
"Rubb_Trad",119611,113422
"Shru_Agrisil",47070,42548
"Shru_Bndry",207,207
"Shru_Trad",192,178
"Tea_Trad",1188,1188
"Tree_Agrisil",162481,78609
"Tree_Bndry",15931,14195
"Tree_Trad",1539081,369351
