"","Area_ha","SE_Area_ha"
"NotFo____None",6388925,717870
"TMDec____Coff",192,136
"TMDec____Frui",103,103
"TMDec____Herb",1326720,347564
"TMDec____None",1195570,316956
"TMDec____Pulp",2066,1489
"TMDec____Rice",162,119
"TMDec____Rubb",310,310
"TMDec____Tree",304828,138129
"TMtnS____Coco",24485,23628
"TMtnS____Herb",529650,228677
"TMtnS____None",638842,253520
"TMtnS____Tea",1188,1188
"TRain____Bana",119131,113421
"TRain____Coco",1424606,364932
"TRain____Coff",118459,113417
"TRain____Crop",8101,4889
"TRain____Frui",164333,117600
"TRain____Herb",8142387,763544
"TRain____None",7016295,718967
"TRain____Oil_",890865,289882
"TRain____Palm",642,498
"TRain____Pulp",122357,113436
"TRain____Rice",443,443
"TRain____Rubb",119301,113421
"TRain____Shru",47468,42549
"TRain____Tree",1412666,353441
