"","Area_ha","SE_Area_ha"
"Aqua_Trad",18866,17472
"Bana_Agrisil",1535,1274
"Bana_Trad",362,362
"Coco_Agrisil",18897,6906
"Coco_Trad",28800,14407
"Coff_Agrisil",66946,17402
"Coff_Bndry",24,24
"Coff_Trad",8014,3613
"Crop_Agrisil",198154,47072
"Crop_Bndry",82322,34285
"Crop_Trad",59656,13299
"Frui_Agrisil",102190,22445
"Frui_Bndry",7932,7932
"Frui_Trad",33530,18540
"Herb_Agrisil",2006823,135579
"Herb_Bndry",91673,36619
"Herb_Trad",864209,109098
"None_None",403073475,640429
"None_Trad",7302,4589
"Oil__Agrisil",1241073,129823
"Oil__Trad",1160433,444395
"Palm_Agrisil",121080,41978
"Palm_Trad",54982,27967
"Pulp_Agrisil",4049,2513
"Pulp_Trad",881548,80811
"Rice_Trad",33540,11622
"Rubb_Agrisil",2840,1812
"Rubb_Bndry",996,996
"Rubb_Trad",702558,79846
"Shru_Agrisil",144176,36222
"Shru_Bndry",172999,50260
"Shru_Trad",28037,11571
"Tea_Agrisil",68428,67841
"Tea_Bndry",295,295
"Tea_Trad",17018,6204
"Tree_Agrisil",254382,72348
"Tree_Bndry",21871,15352
"Tree_Trad",853902,94678
