"","Area_ha","SE_Area_ha"
"NotFo____None",374971184,2236707
"NotFo_pt_None",10323068,1984280
"SHumF____Herb",295,295
"SHumF____None",4419,3129
"SHumF____Shru",196,196
"SHumF____Tea",1473,1473
"SHumF____Tree",687,687
"TDryF____Bana",295,295
"TDryF____Coff",12433,5403
"TDryF____Crop",25142,10179
"TDryF____Frui",22650,6483
"TDryF____Herb",396030,50874
"TDryF____None",1476214,344786
"TDryF____Oil_",1734,1734
"TDryF____Pulp",30052,8395
"TDryF____Rice",6746,3517
"TDryF____Rubb",147007,51975
"TDryF____Shru",7345,2986
"TDryF____Tea",8528,4092
"TDryF____Tree",96130,40521
"TMDec____Coff",7049,3051
"TMDec____Crop",17862,4815
"TMDec____Frui",36047,8378
"TMDec____Herb",510669,90940
"TMDec____None",2994319,546498
"TMDec____Oil_",336,336
"TMDec____Pulp",140694,18056
"TMDec____Rice",6607,3237
"TMDec____Rubb",209988,21153
"TMDec____Shru",19336,7142
"TMDec____Tea",71147,67895
"TMDec____Tree",152951,54373
"TMtnS____Coff",1580,981
"TMtnS____Crop",27360,14550
"TMtnS____Frui",4354,4354
"TMtnS____Herb",275365,46675
"TMtnS____None",1124529,128109
"TMtnS____Oil_",5048,5048
"TMtnS____Pulp",101912,29848
"TMtnS____Rubb",60649,26079
"TMtnS____Shru",1843,1353
"TMtnS____Tea",4493,3512
"TMtnS____Tree",76213,24090
"TRain____Aqua",18866,17472
"TRain____Bana",1601,1291
"TRain____Coco",33910,8054
"TRain____Coff",53039,16734
"TRain____Crop",250934,53986
"TRain____Frui",80364,27916
"TRain____Herb",1632352,132683
"TRain____None",11637972,606491
"TRain____Oil_",1988969,455368
"TRain____Palm",152265,47273
"TRain____Pulp",609728,72820
"TRain____Rice",20188,10528
"TRain____Rubb",271442,47865
"TRain____Shru",264962,56451
"TRain____Tea",101,101
"TRain____Tree",786145,94318
"TRain_pt_Coco",13787,13787
"TRain_pt_Crop",18028,17321
"TRain_pt_Herb",145638,45462
"TRain_pt_None",533667,92304
"TRain_pt_Oil_",405419,80982
"TRain_pt_Palm",23797,17431
"TRain_pt_Rubb",17307,17307
"TRain_pt_Shru",51199,26514
"TRain_pt_Tree",18028,17321
"TShrb____Coff",884,884
"TShrb____Crop",806,806
"TShrb____Frui",237,237
"TShrb____Herb",2357,2357
"TShrb____None",15407,5376
"TShrb____Pulp",3211,2507
"TShrb____Shru",332,332
