"","Area_ha","SE_Area_ha"
"NotFo____None",50118920,297126
"TDryF____Crop",8317,8317
"TDryF____Herb",30667,7584
"TDryF____None",167475,141541
"TDryF____Oil_",1734,1734
"TDryF____Pulp",6800,3913
"TDryF____Rubb",73839,50341
"TDryF____Shru",306,306
"TDryF____Tree",5799,2754
"TMDec____Crop",204,204
"TMDec____Frui",5978,3542
"TMDec____Herb",58458,10479
"TMDec____None",380943,219628
"TMDec____Oil_",336,336
"TMDec____Pulp",6811,3171
"TMDec____Rubb",3247,1906
"TMDec____Shru",930,600
"TMDec____Tree",5620,2902
"TMtnS____Herb",5595,3139
"TMtnS____None",14389,5259
"TMtnS____Pulp",4896,3459
"TMtnS____Rubb",67,67
"TMtnS____Tree",2448,2448
"TRain____Coco",807,807
"TRain____Coff",1020,1020
"TRain____Crop",4046,2294
"TRain____Frui",5194,2751
"TRain____Herb",51434,9673
"TRain____None",82501,11433
"TRain____Oil_",91654,13274
"TRain____Pulp",152287,16975
"TRain____Rubb",77977,12679
"TRain____Shru",2374,1548
"TRain____Tree",41258,8806
