"","Area_ha","SE_Area_ha"
"Coff_Agrisil",18001,4871
"Coff_Bndry",24,24
"Coff_Trad",3688,2522
"Crop_Agrisil",8714,3349
"Crop_Trad",12239,4639
"Frui_Agrisil",15062,5066
"Frui_Trad",3827,2531
"Herb_Agrisil",80694,11658
"Herb_Bndry",1422,1120
"Herb_Trad",9313,2697
"None_None",32209030,127454
"None_Trad",786,786
"Pulp_Agrisil",1070,836
"Pulp_Trad",149326,16444
"Rice_Trad",285,285
"Rubb_Agrisil",2502,1780
"Rubb_Bndry",996,996
"Rubb_Trad",61349,10228
"Shru_Agrisil",14034,6373
"Shru_Trad",1813,1206
"Tea_Agrisil",67838,67838
"Tea_Bndry",295,295
"Tea_Trad",1473,1473
"Tree_Agrisil",57284,52222
"Tree_Bndry",142,142
"Tree_Trad",6490,3086
