"","Area_ha","SE_Area_ha"
"NotFo____None",31416901,254606
"SHumF____Herb",295,295
"SHumF____None",4419,3129
"SHumF____Shru",196,196
"SHumF____Tea",1473,1473
"SHumF____Tree",687,687
"TDryF____Coff",569,569
"TDryF____Herb",3268,2362
"TDryF____None",5797,2672
"TDryF____Pulp",1139,1139
"TDryF____Rubb",380,380
"TDryF____Tea",295,295
"TMDec____Coff",2728,1549
"TMDec____Crop",10018,4145
"TMDec____Frui",16027,5285
"TMDec____Herb",44268,8395
"TMDec____None",466418,183395
"TMDec____Pulp",72406,11993
"TMDec____Rubb",58671,10005
"TMDec____Shru",8619,5767
"TMDec____Tea",67838,67838
"TMDec____Tree",57397,52255
"TMtnS____Coff",854,660
"TMtnS____Crop",2740,2376
"TMtnS____Herb",17610,5735
"TMtnS____None",31619,7776
"TMtnS____Pulp",4634,2853
"TMtnS____Shru",1843,1353
"TMtnS____Tree",769,558
"TRain____Coff",16679,5152
"TRain____Crop",7389,3055
"TRain____Frui",2625,2014
"TRain____Herb",23632,5856
"TRain____None",269254,126186
"TRain____Pulp",69008,11236
"TRain____Rice",285,285
"TRain____Rubb",5798,2992
"TRain____Shru",4857,2625
"TRain____Tree",5063,2320
"TShrb____Coff",884,884
"TShrb____Crop",806,806
"TShrb____Frui",237,237
"TShrb____Herb",2357,2357
"TShrb____None",15407,5376
"TShrb____Pulp",3211,2507
"TShrb____Shru",332,332
