"","Area_ha","SE_Area_ha"
"NotFo____None_None",15683103,280173
"TDryF____Bana_Agrisil",295,295
"TDryF____Coff_Agrisil",10194,5107
"TDryF____Crop_Agrisil",10639,4496
"TDryF____Crop_Bndry",2718,2718
"TDryF____Frui_Agrisil",21470,6380
"TDryF____Frui_Trad",1180,1180
"TDryF____Herb_Agrisil",257386,24262
"TDryF____Herb_Bndry",26608,21537
"TDryF____Herb_Trad",48527,21184
"TDryF____None_None",890926,179853
"TDryF____Pulp_Trad",5731,3072
"TDryF____Rice_Trad",6489,3507
"TDryF____Rubb_Trad",67344,12467
"TDryF____Shru_Agrisil",4719,2179
"TDryF____Shru_Bndry",2107,2024
"TDryF____Shru_Trad",84,84
"TDryF____Tea_Trad",8233,4081
"TDryF____Tree_Agrisil",60285,37144
"TDryF____Tree_Bndry",16152,15262
"TDryF____Tree_Trad",6342,3331
"TMDec____Coff_Agrisil",4129,2625
"TMDec____Crop_Agrisil",2118,1159
"TMDec____Crop_Trad",2481,1644
"TMDec____Frui_Agrisil",13938,5451
"TMDec____Herb_Agrisil",58948,10695
"TMDec____Herb_Trad",15632,5503
"TMDec____None_None",626331,163792
"TMDec____Pulp_Trad",5178,3074
"TMDec____Rice_Trad",1433,1433
"TMDec____Rubb_Agrisil",337,337
"TMDec____Rubb_Trad",71696,12199
"TMDec____Shru_Bndry",6068,3496
"TMDec____Shru_Trad",564,406
"TMDec____Tea_Agrisil",590,590
"TMDec____Tea_Trad",2718,2718
"TMDec____Tree_Agrisil",2839,1729
"TMDec____Tree_Trad",5934,3491
"TRain____Crop_Agrisil",3171,1862
"TRain____Frui_Agrisil",1854,1854
"TRain____Frui_Trad",1180,1180
"TRain____Herb_Agrisil",14063,5843
"TRain____Herb_Trad",4291,2864
"TRain____None_None",130903,74093
"TRain____Oil__Agrisil",5660,3371
"TRain____Pulp_Trad",1359,1359
"TRain____Rice_Trad",113,113
"TRain____Rubb_Trad",3058,2172
"TRain____Shru_Agrisil",566,566
"TRain____Shru_Bndry",1517,1517
"TRain____Tree_Trad",8155,4693
