"","Area_ha","SE_Area_ha"
"NotFo____None_None",27656495,2895081
"NotFo_pt_None_None",1466109,620840
"TMDec____Herb_Agrisil",198830,198830
"TMDec____None_None",3023632,1125979
"TMDec____Shru_Agrisil",144603,144603
"TMDec____Tree_Agrisil",90377,90377
"TMtnS____Coco_Agrisil",18075,18075
"TMtnS____Coff_Agrisil",726,726
"TMtnS____Crop_Agrisil",17415,13759
"TMtnS____Frui_Agrisil",4354,4354
"TMtnS____Herb_Agrisil",543272,435782
"TMtnS____Herb_Trad",240786,235052
"TMtnS____None_None",14639663,2349782
"TMtnS____Oil__Trad",5048,5048
"TMtnS____Pulp_Trad",46440,27174
"TMtnS____Rice_Trad",307282,307282
"TMtnS____Rubb_Trad",34830,24603
"TMtnS____Tree_Agrisil",2177,2177
"TMtnS____Tree_Trad",138929,110611
"TMtnS_pt_Herb_Agrisil",433810,433810
"TRain____Aqua_Trad",18866,17472
"TRain____Coco_Agrisil",765336,506633
"TRain____Coco_Trad",292091,210575
"TRain____Coff_Agrisil",30028,15529
"TRain____Crop_Agrisil",169246,54776
"TRain____Crop_Bndry",78895,34172
"TRain____Crop_Trad",82438,72504
"TRain____Frui_Agrisil",754746,477128
"TRain____Frui_Bndry",7932,7932
"TRain____Frui_Trad",22495,18131
"TRain____Herb_Agrisil",5401543,1208770
"TRain____Herb_Bndry",40382,23842
"TRain____Herb_Trad",2357157,801996
"TRain____None_None",102577886,4160017
"TRain____Oil__Agrisil",3519589,917673
"TRain____Oil__Trad",5377180,1351600
"TRain____Palm_Agrisil",120615,41975
"TRain____Palm_Trad",31008,21916
"TRain____Pulp_Agrisil",721,721
"TRain____Pulp_Trad",950950,489295
"TRain____Rice_Trad",1694716,798222
"TRain____Rubb_Trad",130521,44458
"TRain____Shru_Agrisil",539629,435142
"TRain____Shru_Bndry",130265,44545
"TRain____Shru_Trad",11610,7317
"TRain____Tree_Agrisil",844394,504368
"TRain____Tree_Bndry",271131,181370
"TRain____Tree_Trad",5138850,1228480
"TRain_pt_Coco_Trad",13787,13787
"TRain_pt_Crop_Agrisil",18028,17321
"TRain_pt_Herb_Agrisil",124703,41934
"TRain_pt_Herb_Bndry",17307,17307
"TRain_pt_Herb_Trad",437438,433825
"TRain_pt_None_None",8089195,1757441
"TRain_pt_Oil__Agrisil",673788,438259
"TRain_pt_Oil__Trad",165441,52395
"TRain_pt_Palm_Trad",23797,17431
"TRain_pt_Rubb_Trad",17307,17307
"TRain_pt_Shru_Agrisil",10096,10096
"TRain_pt_Shru_Bndry",32450,22981
"TRain_pt_Shru_Trad",8653,8653
"TRain_pt_Tree_Agrisil",721,721
"TRain_pt_Tree_Trad",17307,17307
"TShrb____None_None",433810,433810
