"","Area_ha","SE_Area_ha"
"NotFo____None_None",21361959,164272
"TDryF____Coff_Agrisil",1670,1670
"TDryF____Crop_Trad",3469,2647
"TDryF____Herb_Agrisil",5100,3045
"TDryF____Herb_Bndry",385,385
"TDryF____Herb_Trad",20784,7202
"TDryF____None_None",135083,19026
"TDryF____Pulp_Trad",16383,6666
"TDryF____Rice_Trad",257,257
"TDryF____Rubb_Trad",5446,3408
"TDryF____Shru_Trad",128,128
"TDryF____Tree_Agrisil",1413,1413
"TDryF____Tree_Bndry",385,385
"TDryF____Tree_Trad",5753,3742
"TMDec____Crop_Trad",1799,1190
"TMDec____Herb_Agrisil",18666,5925
"TMDec____Herb_Trad",141761,86255
"TMDec____None_None",356238,50219
"TMDec____None_Trad",3083,3083
"TMDec____Pulp_Trad",27285,8630
"TMDec____Rice_Trad",1156,1156
"TMDec____Rubb_Trad",56012,11829
"TMDec____Shru_Agrisil",2441,2199
"TMDec____Shru_Trad",302,302
"TMDec____Tree_Agrisil",9171,4489
"TMDec____Tree_Trad",5636,3379
"TMtnS____Crop_Trad",1285,908
"TMtnS____Herb_Agrisil",5826,3598
"TMtnS____Herb_Trad",23382,7832
"TMtnS____None_None",243840,87856
"TMtnS____None_Trad",128,128
"TMtnS____Pulp_Trad",13227,5870
"TMtnS____Rubb_Trad",19142,7282
"TMtnS____Tree_Trad",1927,1290
"TRain____Coff_Agrisil",1352,1007
"TRain____Coff_Trad",2184,2184
"TRain____Crop_Trad",251,251
"TRain____Herb_Agrisil",3851,1927
"TRain____Herb_Bndry",1028,1028
"TRain____Herb_Trad",33133,8652
"TRain____None_None",392332,101633
"TRain____Pulp_Trad",32864,8614
"TRain____Rubb_Trad",22108,7279
"TRain____Shru_Agrisil",385,385
"TRain____Shru_Bndry",385,385
"TRain____Shru_Trad",704,704
"TRain____Tea_Trad",101,101
"TRain____Tree_Agrisil",2497,1727
"TRain____Tree_Bndry",257,257
"TRain____Tree_Trad",5460,3330
