"","Area_ha","SE_Area_ha"
"NotFo____None_None",63677952,562361
"TDryF____Herb_Agrisil",3305,3305
"TDryF____None_None",276933,257152
"TMDec____Crop_Bndry",141,141
"TMDec____Crop_Trad",1102,701
"TMDec____Herb_Agrisil",57457,12661
"TMDec____Herb_Bndry",2681,2681
"TMDec____Herb_Trad",108280,17375
"TMDec____None_None",1075433,432472
"TMDec____None_Trad",3305,3305
"TMDec____Pulp_Trad",26947,9274
"TMDec____Rice_Trad",3855,2660
"TMDec____Rubb_Trad",19716,7405
"TMDec____Shru_Agrisil",275,275
"TMDec____Shru_Trad",138,138
"TMDec____Tree_Agrisil",9562,4921
"TMDec____Tree_Bndry",2526,1236
"TMDec____Tree_Trad",53055,12055
"TMtnS____Crop_Trad",5921,3989
"TMtnS____Herb_Agrisil",30294,9156
"TMtnS____Herb_Trad",76623,14593
"TMtnS____None_None",331030,30154
"TMtnS____Pulp_Trad",32714,9898
"TMtnS____Rubb_Trad",6609,4669
"TMtnS____Tea_Trad",3305,3305
"TMtnS____Tree_Agrisil",3718,1774
"TMtnS____Tree_Bndry",964,630
"TMtnS____Tree_Trad",33734,9592
"TRain____Coff_Agrisil",847,847
"TRain____Crop_Agrisil",2341,1971
"TRain____Crop_Trad",8405,4831
"TRain____Frui_Agrisil",4626,3606
"TRain____Herb_Agrisil",49092,11890
"TRain____Herb_Trad",49246,11244
"TRain____None_None",598096,258856
"TRain____Oil__Agrisil",6691,4732
"TRain____Oil__Trad",10139,5454
"TRain____Pulp_Agrisil",2258,2258
"TRain____Pulp_Trad",46170,11731
"TRain____Rice_Trad",5645,3804
"TRain____Rubb_Trad",30209,9239
"TRain____Shru_Agrisil",1965,1606
"TRain____Shru_Trad",1119,818
"TRain____Tree_Agrisil",5875,3076
"TRain____Tree_Trad",48823,11748
