"","Area_ha","SE_Area_ha"
"NotFo____None_None",6388925,717870
"TMDec____Coff_Trad",192,136
"TMDec____Frui_Trad",103,103
"TMDec____Herb_Agrisil",571718,235969
"TMDec____Herb_Trad",755002,251778
"TMDec____None_None",1195570,316956
"TMDec____Pulp_Trad",2066,1489
"TMDec____Rice_Trad",162,119
"TMDec____Rubb_Trad",310,310
"TMDec____Tree_Agrisil",49251,47256
"TMDec____Tree_Trad",255576,130143
"TMtnS____Coco_Agrisil",24485,23628
"TMtnS____Herb_Agrisil",127323,113770
"TMtnS____Herb_Trad",402326,195441
"TMtnS____None_None",638842,253520
"TMtnS____Tea_Trad",1188,1188
"TRain____Bana_Agrisil",1240,1240
"TRain____Bana_Trad",117891,113414
"TRain____Coco_Agrisil",663229,258493
"TRain____Coco_Trad",761377,264399
"TRain____Coff_Agrisil",117529,113413
"TRain____Coff_Trad",930,930
"TRain____Crop_Agrisil",6816,4821
"TRain____Crop_Bndry",568,568
"TRain____Crop_Trad",716,587
"TRain____Frui_Agrisil",164333,117600
"TRain____Herb_Agrisil",4370476,587945
"TRain____Herb_Bndry",45934,42547
"TRain____Herb_Trad",3725977,534824
"TRain____None_None",7016295,718967
"TRain____Oil__Agrisil",887564,289877
"TRain____Oil__Trad",3300,1627
"TRain____Palm_Agrisil",465,465
"TRain____Palm_Trad",177,177
"TRain____Pulp_Trad",122357,113436
"TRain____Rice_Trad",443,443
"TRain____Rubb_Trad",119301,113421
"TRain____Shru_Agrisil",47070,42548
"TRain____Shru_Bndry",207,207
"TRain____Shru_Trad",192,178
"TRain____Tree_Agrisil",113230,63110
"TRain____Tree_Bndry",15931,14195
"TRain____Tree_Trad",1283505,349045
