"","Area_ha","SE_Area_ha"
"NotFo____None_None",374971184,2236707
"NotFo_pt_None_None",10323068,1984280
"SHumF____Herb_Trad",295,295
"SHumF____None_None",4419,3129
"SHumF____Shru_Trad",196,196
"SHumF____Tea_Trad",1473,1473
"SHumF____Tree_Trad",687,687
"TDryF____Bana_Agrisil",295,295
"TDryF____Coff_Agrisil",12433,5403
"TDryF____Crop_Agrisil",10639,4496
"TDryF____Crop_Bndry",2718,2718
"TDryF____Crop_Trad",11786,8728
"TDryF____Frui_Agrisil",21470,6380
"TDryF____Frui_Trad",1180,1180
"TDryF____Herb_Agrisil",287579,25493
"TDryF____Herb_Bndry",27288,21542
"TDryF____Herb_Trad",81164,22872
"TDryF____None_None",1476214,344786
"TDryF____Oil__Trad",1734,1734
"TDryF____Pulp_Trad",30052,8395
"TDryF____Rice_Trad",6746,3517
"TDryF____Rubb_Trad",147007,51975
"TDryF____Shru_Agrisil",5025,2201
"TDryF____Shru_Bndry",2107,2024
"TDryF____Shru_Trad",213,154
"TDryF____Tea_Bndry",295,295
"TDryF____Tea_Trad",8233,4081
"TDryF____Tree_Agrisil",62816,37175
"TDryF____Tree_Bndry",16538,15267
"TDryF____Tree_Trad",16777,5689
"TMDec____Coff_Agrisil",6834,3047
"TMDec____Coff_Bndry",24,24
"TMDec____Coff_Trad",192,136
"TMDec____Crop_Agrisil",3043,1323
"TMDec____Crop_Bndry",141,141
"TMDec____Crop_Trad",14678,4630
"TMDec____Frui_Agrisil",32031,7995
"TMDec____Frui_Trad",4016,2525
"TMDec____Herb_Agrisil",213412,21367
"TMDec____Herb_Bndry",3808,2891
"TMDec____Herb_Trad",293448,88360
"TMDec____None_None",2987931,546485
"TMDec____None_Trad",6388,4520
"TMDec____Oil__Agrisil",336,336
"TMDec____Pulp_Agrisil",786,786
"TMDec____Pulp_Trad",139908,18044
"TMDec____Rice_Trad",6607,3237
"TMDec____Rubb_Agrisil",2840,1812
"TMDec____Rubb_Bndry",996,996
"TMDec____Rubb_Trad",206153,21063
"TMDec____Shru_Agrisil",11806,6196
"TMDec____Shru_Bndry",6068,3496
"TMDec____Shru_Trad",1462,642
"TMDec____Tea_Agrisil",68428,67841
"TMDec____Tea_Trad",2718,2718
"TMDec____Tree_Agrisil",76778,52659
"TMDec____Tree_Bndry",2872,1261
"TMDec____Tree_Trad",73301,13537
"TMtnS____Coff_Agrisil",1580,981
"TMtnS____Crop_Agrisil",20155,13963
"TMtnS____Crop_Trad",7205,4091
"TMtnS____Frui_Agrisil",4354,4354
"TMtnS____Herb_Agrisil",164032,42969
"TMtnS____Herb_Trad",111333,17776
"TMtnS____None_None",1124400,128109
"TMtnS____None_Trad",128,128
"TMtnS____Oil__Trad",5048,5048
"TMtnS____Pulp_Trad",101912,29848
"TMtnS____Rubb_Trad",60649,26079
"TMtnS____Shru_Agrisil",1843,1353
"TMtnS____Tea_Trad",4493,3512
"TMtnS____Tree_Agrisil",6664,2863
"TMtnS____Tree_Bndry",964,630
"TMtnS____Tree_Trad",68586,23929
"TRain____Aqua_Trad",18866,17472
"TRain____Bana_Agrisil",1240,1240
"TRain____Bana_Trad",362,362
"TRain____Coco_Agrisil",18897,6906
"TRain____Coco_Trad",15013,4180
"TRain____Coff_Agrisil",45216,16214
"TRain____Coff_Trad",7822,3611
"TRain____Crop_Agrisil",145483,41313
"TRain____Crop_Bndry",79463,34177
"TRain____Crop_Trad",25987,7924
"TRain____Frui_Agrisil",44335,19524
"TRain____Frui_Bndry",7932,7932
"TRain____Frui_Trad",28097,18328
"TRain____Herb_Agrisil",1214741,118473
"TRain____Herb_Bndry",43270,23894
"TRain____Herb_Trad",374341,57556
"TRain____None_None",11637187,606491
"TRain____None_Trad",786,786
"TRain____Oil__Agrisil",1000759,115579
"TRain____Oil__Trad",988210,441441
"TRain____Palm_Agrisil",121080,41978
"TRain____Palm_Trad",31185,21917
"TRain____Pulp_Agrisil",3263,2387
"TRain____Pulp_Trad",606465,72709
"TRain____Rice_Trad",20188,10528
"TRain____Rubb_Trad",271442,47865
"TRain____Shru_Agrisil",115074,34164
"TRain____Shru_Bndry",132374,44573
"TRain____Shru_Trad",17513,7651
"TRain____Tea_Trad",101,101
"TRain____Tree_Agrisil",107404,32367
"TRain____Tree_Bndry",1497,770
"TRain____Tree_Trad",677244,89060
"TRain_pt_Coco_Trad",13787,13787
"TRain_pt_Crop_Agrisil",18028,17321
"TRain_pt_Herb_Agrisil",124703,41934
"TRain_pt_Herb_Bndry",17307,17307
"TRain_pt_Herb_Trad",3628,3628
"TRain_pt_None_None",533667,92304
"TRain_pt_Oil__Agrisil",239978,62287
"TRain_pt_Oil__Trad",165441,52395
"TRain_pt_Palm_Trad",23797,17431
"TRain_pt_Rubb_Trad",17307,17307
"TRain_pt_Shru_Agrisil",10096,10096
"TRain_pt_Shru_Bndry",32450,22981
"TRain_pt_Shru_Trad",8653,8653
"TRain_pt_Tree_Agrisil",721,721
"TRain_pt_Tree_Trad",17307,17307
"TShrb____Coff_Agrisil",884,884
"TShrb____Crop_Agrisil",806,806
"TShrb____Frui_Trad",237,237
"TShrb____Herb_Agrisil",2357,2357
"TShrb____None_None",15407,5376
"TShrb____Pulp_Trad",3211,2507
"TShrb____Shru_Agrisil",332,332
