"","Area_ha","SE_Area_ha"
"NotFo____None_None",50118920,297126
"TDryF____Crop_Trad",8317,8317
"TDryF____Herb_Agrisil",18960,5970
"TDryF____Herb_Trad",11707,4746
"TDryF____None_None",167475,141541
"TDryF____Oil__Trad",1734,1734
"TDryF____Pulp_Trad",6800,3913
"TDryF____Rubb_Trad",73839,50341
"TDryF____Shru_Agrisil",306,306
"TDryF____Tree_Agrisil",1118,582
"TDryF____Tree_Trad",4681,2694
"TMDec____Crop_Trad",204,204
"TMDec____Frui_Agrisil",4896,3459
"TMDec____Frui_Trad",1082,766
"TMDec____Herb_Agrisil",38511,8936
"TMDec____Herb_Trad",19947,5384
"TMDec____None_None",380943,219628
"TMDec____Oil__Agrisil",336,336
"TMDec____Pulp_Trad",6811,3171
"TMDec____Rubb_Trad",3247,1906
"TMDec____Shru_Agrisil",471,471
"TMDec____Shru_Trad",459,371
"TMDec____Tree_Agrisil",370,310
"TMDec____Tree_Bndry",204,204
"TMDec____Tree_Trad",5046,2879
"TMtnS____Herb_Agrisil",1836,1836
"TMtnS____Herb_Trad",3759,2550
"TMtnS____None_None",14389,5259
"TMtnS____Pulp_Trad",4896,3459
"TMtnS____Rubb_Trad",67,67
"TMtnS____Tree_Trad",2448,2448
"TRain____Coco_Agrisil",807,807
"TRain____Coff_Trad",1020,1020
"TRain____Crop_Agrisil",714,620
"TRain____Crop_Trad",3332,2210
"TRain____Frui_Agrisil",1530,1530
"TRain____Frui_Trad",3664,2290
"TRain____Herb_Agrisil",22528,6474
"TRain____Herb_Trad",28906,7322
"TRain____None_None",82501,11433
"TRain____Oil__Agrisil",29434,7568
"TRain____Oil__Trad",62221,11182
"TRain____Pulp_Trad",152287,16975
"TRain____Rubb_Trad",77977,12679
"TRain____Shru_Agrisil",102,102
"TRain____Shru_Trad",2272,1545
"TRain____Tree_Agrisil",1453,767
"TRain____Tree_Trad",39805,8767
