"","Area_ha","SE_Area_ha"
"NotFo____None_None",31416901,254606
"SHumF____Herb_Trad",295,295
"SHumF____None_None",4419,3129
"SHumF____Shru_Trad",196,196
"SHumF____Tea_Trad",1473,1473
"SHumF____Tree_Trad",687,687
"TDryF____Coff_Agrisil",569,569
"TDryF____Herb_Agrisil",2828,2329
"TDryF____Herb_Bndry",295,295
"TDryF____Herb_Trad",146,109
"TDryF____None_None",5797,2672
"TDryF____Pulp_Trad",1139,1139
"TDryF____Rubb_Trad",380,380
"TDryF____Tea_Bndry",295,295
"TMDec____Coff_Agrisil",2704,1549
"TMDec____Coff_Bndry",24,24
"TMDec____Crop_Agrisil",925,638
"TMDec____Crop_Trad",9093,4097
"TMDec____Frui_Agrisil",13196,4716
"TMDec____Frui_Trad",2831,2404
"TMDec____Herb_Agrisil",36168,7997
"TMDec____Herb_Bndry",1128,1081
"TMDec____Herb_Trad",6972,2445
"TMDec____None_None",466418,183395
"TMDec____Pulp_Agrisil",786,786
"TMDec____Pulp_Trad",71620,11975
"TMDec____Rubb_Agrisil",2502,1780
"TMDec____Rubb_Bndry",996,996
"TMDec____Rubb_Trad",55172,9814
"TMDec____Shru_Agrisil",8619,5767
"TMDec____Tea_Agrisil",67838,67838
"TMDec____Tree_Agrisil",54554,52205
"TMDec____Tree_Bndry",142,142
"TMDec____Tree_Trad",2700,2273
"TMtnS____Coff_Agrisil",854,660
"TMtnS____Crop_Agrisil",2740,2376
"TMtnS____Herb_Agrisil",16614,5649
"TMtnS____Herb_Trad",996,996
"TMtnS____None_None",31619,7776
"TMtnS____Pulp_Trad",4634,2853
"TMtnS____Shru_Agrisil",1843,1353
"TMtnS____Tree_Agrisil",769,558
"TRain____Coff_Agrisil",12990,4472
"TRain____Coff_Trad",3688,2522
"TRain____Crop_Agrisil",4243,2138
"TRain____Crop_Trad",3147,2190
"TRain____Frui_Agrisil",1866,1866
"TRain____Frui_Trad",759,759
"TRain____Herb_Agrisil",22727,5838
"TRain____Herb_Trad",905,521
"TRain____None_None",268469,126184
"TRain____None_Trad",786,786
"TRain____Pulp_Agrisil",285,285
"TRain____Pulp_Trad",68723,11235
"TRain____Rice_Trad",285,285
"TRain____Rubb_Trad",5798,2992
"TRain____Shru_Agrisil",3241,2341
"TRain____Shru_Trad",1616,1190
"TRain____Tree_Agrisil",1961,1217
"TRain____Tree_Trad",3103,1979
"TShrb____Coff_Agrisil",884,884
"TShrb____Crop_Agrisil",806,806
"TShrb____Frui_Trad",237,237
"TShrb____Herb_Agrisil",2357,2357
"TShrb____None_None",15407,5376
"TShrb____Pulp_Trad",3211,2507
"TShrb____Shru_Agrisil",332,332
