LON,LAT,PL_ORIGID,Dynamics,PLOT_ID,SAMPLE_ID,FLAGGED,ANALYSES,USER_ID,COLLECTION_TIME,ANALYSIS_DURATION,IMAGERY_TITLE,PL_PLOTID,PL_PACKETID,PL_COUNTRY,PL_STRATUM,LAND COVER,UNDERSTORY PRESENT?,UNDERSTORY COVER,LAND USE,LAND USE YEAR 2000
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,1,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,2,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,3,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,4,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,5,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,6,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,7,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,8,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,9,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,10,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,11,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,12,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,13,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,14,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,15,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,16,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,17,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,18,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,19,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,20,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,21,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,22,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,23,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.318625,16.0631250000112,835,Tree_cover_gain_partial,2,24,FALSE,0,potapove@user.com,0,0,NA,9990835,NA,Vietnam,3,Other Tree,No,NA,Other,Other
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,1,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,2,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,3,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,4,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,5,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,6,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,7,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,8,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,9,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,10,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,11,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,12,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,13,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,14,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,15,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,16,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,17,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,18,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
106.474625,16.7813750000114,1617,Tree_cover_rotation,3,19,FALSE,0,potapove@user.com,0,0,NA,9991617,NA,Vietnam,3,Other Tree,No,NA,Plantation,Forest Commodity
