id,location_srs,location_x,location_y,operator,elevation,slope,aspect,actively_saved,actively_saved_on_year,actively_saved_on_month,actively_saved_on_day,plot_file,land_use,number_of_trees,agroforestry_types,tree_covers,vhr_imagery_available,year_of_imagery,other_tree_cover,confidence_level,confidence_range,percent_confidence,Department
6303,EPSG:4326,-77.05,7.75,Jackson otuke,,1,0.45677,TRUE,2018,4,3,Antioquia.csv,otherland,0,none,1,FALSE,,1,medium,6,12,Antioquia
7102,EPSG:4326,-76.9,6.7,Jackson otuke,,21,0.43969,TRUE,2018,4,3,Antioquia.csv,forest,47,none,1,FALSE,,15,medium,7,13,Antioquia
6418,EPSG:4326,-76.9,7.6,Jackson otuke,,5,0.58697,TRUE,2018,4,3,Antioquia.csv,grassland,1,none,1,FALSE,,2,medium,7,13,Antioquia
6304,EPSG:4326,-76.9,7.75,Jackson otuke,,4,0.26613,FALSE,2018,4,3,Antioquia.csv,,,,,,,,,,,Antioquia
6190,EPSG:4326,-76.9,7.9,Jackson otuke,,0,0.0875,TRUE,2018,4,3,Antioquia.csv,otherland,0,none,1,TRUE,2010,1,medium,6,12,Antioquia
6076,EPSG:4326,-76.9,8.05,Jackson otuke,,8,0.66924,TRUE,2018,4,3,Antioquia.csv,wetlands,0,none,1,TRUE,2013,1,very_high,9,15,Antioquia
7445,EPSG:4326,-76.75,6.25,Jackson otuke,,25,0.99855,TRUE,2018,4,4,Antioquia.csv,forest,45,none,1,FALSE,,15,medium,7,13,Antioquia
7331,EPSG:4326,-76.75,6.4,Jackson otuke,,24,0.40337,TRUE,2018,4,4,Antioquia.csv,wetlands,46,none,1,FALSE,,15,high,8,14,Antioquia
7217,EPSG:4326,-76.75,6.55,Jackson otuke,,93,1.00999,TRUE,2018,4,4,Antioquia.csv,forest,48,none,1,FALSE,,15,high,8,14,Antioquia
7103,EPSG:4326,-76.75,6.7,Jackson otuke,,47,0.6078,TRUE,2018,4,3,Antioquia.csv,forest,48,none,1,FALSE,,15,high,8,14,Antioquia
6989,EPSG:4326,-76.75,6.85,Jackson otuke,,14,0.27671,TRUE,2018,4,3,Antioquia.csv,forest,46,none,1,FALSE,,15,medium,7,13,Antioquia
6875,EPSG:4326,-76.75,7,Jackson otuke,,25,0.51022,TRUE,2018,4,3,Antioquia.csv,forest,46,none,1,FALSE,,15,high,8,14,Antioquia
6533,EPSG:4326,-76.75,7.45,Jackson otuke,,18,0.69174,TRUE,2018,4,3,Antioquia.csv,grassland,0,none,1,FALSE,,1,medium,6,12,Antioquia
6419,EPSG:4326,-76.75,7.6,Jackson otuke,,13,0.45677,TRUE,2018,4,3,Antioquia.csv,otherland,6,none,1,TRUE,2017,7,very_high,9,15,Antioquia
6305,EPSG:4326,-76.75,7.75,Jackson otuke,,12,0.22309,TRUE,2018,4,3,Antioquia.csv,grassland,3,none,1,TRUE,2006,4,very_high,9,15,Antioquia
6191,EPSG:4326,-76.75,7.9,Jackson otuke,,9,0,TRUE,2018,4,3,Antioquia.csv,forest,47,none,1,TRUE,2010,15,high,8,14,Antioquia
5849,EPSG:4326,-76.75,8.35,Jackson otuke,,5,0.47121,TRUE,2018,4,3,Antioquia.csv,forest,35,none,1,FALSE,,13,medium,6,12,Antioquia
5735,EPSG:4326,-76.75,8.5,Jackson otuke,,30,1.61898,TRUE,2018,4,3,Antioquia.csv,grassland,10,none,1,TRUE,2007,8,medium,7,13,Antioquia
7446,EPSG:4326,-76.6,6.25,Jackson otuke,,47,0.29349,TRUE,2018,4,4,Antioquia.csv,forest,47,none,1,FALSE,,15,high,8,14,Antioquia
7332,EPSG:4326,-76.6,6.4,Jackson otuke,,113,5.33675,TRUE,2018,4,4,Antioquia.csv,forest,45,none,1,FALSE,,15,high,8,14,Antioquia
7218,EPSG:4326,-76.6,6.55,Jackson otuke,,603,14.80964,FALSE,2018,4,4,Antioquia.csv,,,,,,,,,,,Antioquia
7104,EPSG:4326,-76.6,6.7,Jackson otuke,,768,15.62873,TRUE,2018,4,3,Antioquia.csv,forest,40,none,1,FALSE,,14,medium,5,11,Antioquia
6990,EPSG:4326,-76.6,6.85,Jackson otuke,,591,21.26251,TRUE,2018,4,3,Antioquia.csv,forest,47,none,1,FALSE,,15,high,8,14,Antioquia
6534,EPSG:4326,-76.6,7.45,Jackson otuke,,31,0.37124,TRUE,2018,4,3,Antioquia.csv,grassland,6,none,1,FALSE,,7,high,8,14,Antioquia
6420,EPSG:4326,-76.6,7.6,Jackson otuke,,154,5.30813,TRUE,2018,4,3,Antioquia.csv,forest,38,none,1,TRUE,2017,13,very_high,9,15,Antioquia
6306,EPSG:4326,-76.6,7.75,Jackson otuke,,67,1.07247,TRUE,2018,4,3,Antioquia.csv,forest,44,none,1,TRUE,2017,14,high,8,14,Antioquia
6192,EPSG:4326,-76.6,7.9,Jackson otuke,,229,1.33544,TRUE,2018,4,3,Antioquia.csv,forest,45,none,1,TRUE,2017,15,very_high,9,15,Antioquia
6078,EPSG:4326,-76.6,8.05,Jackson otuke,,53,0.52864,TRUE,2018,4,3,Antioquia.csv,otherland,0,none,1,TRUE,2017,1,very_high,9,15,Antioquia
5964,EPSG:4326,-76.6,8.2,Jackson otuke,,146,1.78523,TRUE,2018,4,3,Antioquia.csv,grassland,15,none,1,TRUE,2017,9,high,8,14,Antioquia
5850,EPSG:4326,-76.6,8.35,Jackson otuke,,99,3.00437,TRUE,2018,4,3,Antioquia.csv,forest,31,none,1,TRUE,2015,12,very_high,9,15,Antioquia
5736,EPSG:4326,-76.6,8.5,Jackson otuke,,101,5.3965,TRUE,2018,4,3,Antioquia.csv,otherland,2,none,1,TRUE,2015,3,very_high,9,15,Antioquia
5622,EPSG:4326,-76.6,8.65,Jackson otuke,,95,2.83482,TRUE,2018,4,3,Antioquia.csv,otherland,10,none,1,TRUE,2017,8,very_high,9,15,Antioquia
7447,EPSG:4326,-76.45,6.25,Jackson otuke,,246,2.02596,TRUE,2018,4,4,Antioquia.csv,forest,40,none,1,FALSE,,14,high,8,14,Antioquia
7333,EPSG:4326,-76.45,6.4,Jackson otuke,,548,6.9928,TRUE,2018,4,4,Antioquia.csv,forest,47,none,1,FALSE,,15,medium,7,13,Antioquia
7219,EPSG:4326,-76.45,6.55,Jackson otuke,,562,12.86364,TRUE,2018,4,4,Antioquia.csv,forest,48,none,1,FALSE,,15,high,8,14,Antioquia
7105,EPSG:4326,-76.45,6.7,Jackson otuke,,865,10.22477,TRUE,2018,4,3,Antioquia.csv,forest,47,none,1,FALSE,,15,high,8,14,Antioquia
6991,EPSG:4326,-76.45,6.85,Jackson otuke,,959,17.13358,TRUE,2018,4,3,Antioquia.csv,forest,43,none,1,FALSE,,14,medium,6,12,Antioquia
6877,EPSG:4326,-76.45,7,Jackson otuke,,363,10.98647,TRUE,2018,4,3,Antioquia.csv,forest,45,none,1,FALSE,,15,medium,6,12,Antioquia
6763,EPSG:4326,-76.45,7.15,Jackson otuke,,480,15.7199,FALSE,2018,4,3,Antioquia.csv,grassland,,,,,,,,,,Antioquia
6649,EPSG:4326,-76.45,7.3,Jackson otuke,,195,13.46138,FALSE,2018,4,3,Antioquia.csv,grassland,,,,,,,,,,Antioquia
6535,EPSG:4326,-76.45,7.45,Jackson otuke,,986,16.22331,TRUE,2018,4,3,Antioquia.csv,forest,45,none,1,FALSE,,15,medium,6,12,Antioquia
6079,EPSG:4326,-76.45,8.05,Jackson otuke,,253,4.6875,TRUE,2018,4,3,Antioquia.csv,forest,45,none,1,FALSE,,15,medium,7,13,Antioquia
5965,EPSG:4326,-76.45,8.2,Jackson otuke,,156,2.14462,TRUE,2018,4,3,Antioquia.csv,grassland,5,none,1,FALSE,,6,medium,6,12,Antioquia
5851,EPSG:4326,-76.45,8.35,Jackson otuke,,252,11.3259,TRUE,2018,4,3,Antioquia.csv,otherland,17,none,1,TRUE,2015,9,very_high,9,15,Antioquia
5737,EPSG:4326,-76.45,8.5,Jackson otuke,,104,4.17177,TRUE,2018,4,3,Antioquia.csv,otherland,0,none,1,FALSE,,1,medium,6,12,Antioquia
5623,EPSG:4326,-76.45,8.65,Jackson otuke,,36,1.73472,TRUE,2018,4,3,Antioquia.csv,grassland,22,none,1,TRUE,2016,10,high,8,14,Antioquia
